t,s,agg,i,Exports,va,GVC_trade_f,GVC_trade_b,GVC_trade,GVC_prod,GVCP_trade_f,GVCP_trade_b,GVCP_trade,GVCP_prod
2017,17,0,0,701342.9758618552,2471704.3541877177,161405.4762168612,144893.4593160548,306298.935532916,352445.5685239904,0.23013772401230054,0.20659429737355026,0.4367320213858508,0.14259212188013298
2017,18,0,0,66998.72837005061,183872.74422481042,12904.076863467782,21771.520798336485,34675.59766180427,29782.41537147781,0.19260181763742384,0.3249542391026733,0.5175560567400972,0.16197297482580997
2017,19,0,0,25145.659256129016,48769.92900734014,4941.428864779812,8068.192489218126,13009.621353997938,10516.289185794323,0.19651220174612785,0.3208582605465625,0.5173704622926903,0.21563060270626114
2017,20,0,0,123338.3553990041,123920.6781576491,17855.67320595939,67905.18414293141,85760.8573488908,34209.591688388886,0.14476983374876073,0.5505601556243851,0.6953299893731458,0.27606039764298423
2017,21,0,0,208062.36792673505,999369.401700293,46698.09736077852,33977.95144204367,80676.04880282219,127303.05309306114,0.22444278523842576,0.16330656898996898,0.38774935422839474,0.12738338083642753
2017,22,0,0,382086.95919060876,2588316.5730517185,66522.03104808595,56310.5773742992,122832.60842238515,171879.78890770476,0.1741018096744323,0.14737633939034275,0.32147814906477507,0.06640601489679923
2017,23,0,0,397291.68927796313,314572.2545908668,46968.7258911034,186757.099811292,233725.8257023954,116580.76855325625,0.11822227134039537,0.47007552599628716,0.5882977973366825,0.37060092507167036
2017,24,0,0,566334.948277384,1833278.0992798903,107327.01732100439,145776.1681915007,253103.1855125051,223347.12643035856,0.1895115560984891,0.2574027413192613,0.4469142974177504,0.12182937576033286
2017,25,0,0,863817.529395514,4859950.605414431,174299.61060669975,170264.4054178789,344564.01602457865,395052.6648753642,0.20177827454910746,0.1971069116148028,0.3988851861639103,0.08128738272262259
2017,26,0,0,659615.4984447206,1462856.9719744567,119254.01841651276,228359.18183105486,347613.2002475676,272268.1411832318,0.18079323287232751,0.34620044915483833,0.5269936820271658,0.18612082137855507
2017,27,0,0,37001.00201321721,44262.17486521596,6683.6734239114585,13713.972346210583,20397.645770122042,14251.337653453862,0.1806349304141539,0.3706378638424923,0.5512727942566462,0.3219755399921271
2017,28,0,0,139014.94083627412,59579.78597936745,12775.356651781993,96869.50436717331,109644.8610189553,29274.289326510905,0.09189916260028672,0.6968280084459562,0.7887271710462428,0.4913459967219188
2017,29,0,0,16554.827055693208,28694.910644722695,3634.9691016983306,5269.432299420423,8904.401401118754,7822.020502997114,0.21957155393225714,0.3183018633594402,0.5378734172916974,0.27259260709479394
2017,30,0,0,441746.3256316076,1074549.0012055193,39098.391248715416,193095.93852109878,232194.3297698142,125237.70178544967,0.0885086960096672,0.4371195125279441,0.5256282085376114,0.11654908398309197
2017,31,0,0,13929.131796919339,11403.236741261158,1417.9323981671582,8304.33514661402,9722.267544781178,2982.5511048857315,0.10179617931971595,0.596184691744439,0.697980871064155,0.26155302854440887
2017,32,0,0,688993.4379627813,776112.5159604572,144000.72852683795,293546.3489374292,437547.07746426715,285422.84771725535,0.2090015965211801,0.4260510082728629,0.635052604794043,0.36775962485805036
2017,33,0,0,144703.6066895021,374269.6839527522,45483.18251796414,33272.75035073452,78755.93286869866,92544.90322233253,0.3143196189681693,0.22993725665822243,0.5442568756263917,0.24726796529428602
2017,34,0,0,285822.55703069083,531403.8871595181,61332.415980972655,97010.69696905703,158343.11295002967,113406.36300108142,0.21458214011564858,0.3394088205523971,0.5539909606680457,0.21340898277441248
2017,35,0,0,77952.57673631719,204362.73904944208,14702.578231338606,25066.12185497848,39768.70008631708,33304.0662177587,0.18860926536234493,0.3215560396389112,0.5101653050012561,0.16296545237486443
